gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YBR067C,S000000271,TIP1,633,cell wall organization and biogenesis,structural constituent of cell wall,cell wall (sensu Fungi),0,-2.12,1.01,1.57,1.22,0.31,0.16,-0.49,-1.02,-1.08,-0.8,-0.18,0.1,0.27,0.39,-0.42,0.16,-1.08,-0.08,1.48,1.43,0.98,0.49,-0.13,-0.55,-0.63,-0.21,-0.07,0.01,-0.41,-1.03,0.14,0.78,0.51,-0.08,-0.39,-0.7,-0.73,-0.37,0.15,-0.14,-0.29,0.39,0.48,0.27
YBR068C,S000000272,BAP2,1830,amino acid transport,amino acid transporter activity,plasma membrane,0,0.41,0.01,0.28,-0.37,-0.7,-0.37,-0.37,0.13,0.11,-0.01,0.2,-0.42,-0.13,-0.19,0,0.46,-0.33,0.18,-0.58,-0.5,-0.31,-0.14,0.4,-0.48,0.26,0.04,-0.2,0.14,0.09,0.06,-0.16,0.01,-0.61,0.12,-0.26,-0.09,-0.09,-0.03,0.16,0.43,-0.03,0.29,-0.01,0.29
YBR069C,S000000273,TAT1,1860,amino acid transport,amino acid transporter activity,plasma membrane,0,-2.12,0.37,-0.06,-0.63,-0.77,-0.49,-0.11,0.11,0.18,0.2,0.15,0.44,0.5,0.03,0.04,0.52,-0.06,0.62,-0.28,-0.18,-0.78,-0.83,-0.35,-0.2,0.44,0.31,0.29,0.38,0.19,0.07,-1.62,0.02,-0.24,-0.05,0.07,0.05,0.14,0.19,0.53,-0.02,-0.15,0.44,0.5,0.14
YBR070C,S000000274,NA,714,NA,NA,NA,1,0.83,-0.45,-0.91,0.41,0.67,0.42,0.13,-0.06,-0.1,-0.84,0.19,-0.18,0.5,0.53,-0.35,0.16,-0.42,-0.03,-0.22,0.69,1.86,1.05,-0.04,-0.28,-0.86,-1.25,-0.58,0.44,0.39,0.15,-0.97,-0.41,0.31,-0.36,0.34,0.38,0.11,0.42,0.06,-0.14,0.38,-0.19,-0.15,0.24
YBR071W,S000000275,NA,636,NA,NA,cytoplasm,0,1.04,-2.32,-0.81,1.08,0.74,-0.1,-0.23,-0.64,-0.64,-1.21,0.24,1.27,1.13,0.49,-0.39,-0.1,-1,0.22,-0.27,0.6,1.1,-0.22,-0.07,-0.34,-0.75,-1.33,-0.64,1.17,1.1,-0.12,-0.29,-0.91,-0.67,-0.23,0.38,0.02,0.06,0.03,0.08,0.08,-0.03,0.52,0.55,0.4
YBR072W,S000000276,HSP26,645,response to stress,unfolded protein binding,cytoplasm,0,0.53,0.42,-0.03,0.36,0.25,-0.1,-0.14,-0.1,0.22,0.1,0.16,-0.18,-0.07,-0.03,-0.12,0.16,-0.32,0.09,2.68,1.91,1.54,0.25,-0.04,-0.75,-0.75,-1.34,-0.64,-0.97,-0.37,-0.4,2.35,1.59,-0.05,1.14,-0.18,-0.64,-1.52,-0.61,-0.39,-0.77,-1.94,-0.24,0.75,0.5
YBR073W,S000000277,RDH54,2775,meiotic recombination,DNA-dependent ATPase activity,nucleus,0,0.69,-1.36,-0.48,0.38,0.06,-0.11,-0.16,-0.14,-0.16,-0.63,-0.54,-0.02,0.38,0.13,0.08,0.19,-0.46,NA,-0.23,-0.05,0.86,0.19,0.57,-0.3,-0.08,-0.42,-0.48,0.33,0.53,NA,-0.76,-1.16,-0.43,0.31,0.74,0.56,0.77,0.23,0.23,0.68,-0.23,-0.05,-0.81,-0.09
YBR074W,S000000278,NA,2931,NA,NA,NA,0,0.14,0.26,0.07,-0.21,-0.03,-0.21,0.1,0.04,0.69,-0.06,0.22,-0.25,NA,-0.1,-0.23,NA,-0.01,NA,0.73,-1.03,0.13,0.03,-0.21,-0.14,0.73,0.52,0.52,NA,0.48,0.94,-0.45,-0.01,-0.35,-0.15,0.37,0.21,0.19,-0.13,-0.12,0.02,0.91,-0.08,-0.54,0.13
YBR075W,NA,NA,NA,NA,NA,NA,0,-0.74,-0.1,0.15,-0.21,-0.36,-0.21,0.08,0.09,0.15,0.06,-0.19,0.03,0.17,0.09,0.05,0.6,-0.08,0.43,0.28,-0.06,-0.25,-0.34,0.34,-0.2,0.18,0.37,0.14,0.2,-0.12,-0.05,-1.09,0.05,-0.12,0.37,0.3,-0.02,0.31,-0.07,0.22,-0.05,-0.32,0.37,-0.04,0.07
YBR076W,S000000280,ECM8,1020,cell wall organization and biogenesis,NA,NA,0,0.87,0.04,0.14,0,-0.64,-0.33,0.07,0.12,0.23,-0.2,0.4,-0.67,0.15,0.51,-0.51,0.4,0.1,0.28,0.65,0.15,-0.04,0.11,0.6,-0.08,0.38,0.07,-0.13,0.11,-0.36,-0.41,0.3,0.09,0.13,-0.7,0.01,0.19,0.23,0.26,-0.04,-0.21,0.33,-0.42,-0.23,0.05
YBR078W,S000000282,ECM33,1737,cell wall organization and biogenesis,NA,plasma membrane,0,0.12,-0.01,-0.44,-0.42,-0.3,0.37,-0.08,0.71,0.26,0.38,0.01,-0.15,-0.35,0.09,0.67,-0.18,0,0.25,-0.81,-0.42,-0.04,-0.07,0.3,-0.4,0.23,0.17,-0.27,-0.05,0.18,0.14,-2.61,-1.8,-1.24,-0.8,0.01,0.6,0.8,1.15,0.98,0.92,0.6,0.66,0.52,0.21
YBR079C,S000000283,RPG1,2895,translational initiation,translation initiation factor activity,cytoplasm,1,-0.18,0.14,-0.04,-0.29,-0.4,0.09,-0.21,0.13,0.13,0.05,0.02,0.18,0.4,-0.09,0.22,-0.04,0.19,0,-0.85,0.03,-0.19,-0.28,0.5,-0.29,0.22,0.3,-0.18,0.75,0.16,-0.25,-0.7,-0.61,-0.08,0.06,0.24,0.3,0.18,-0.01,0.09,0.44,-0.2,0.43,-0.18,0.05
YBR082C,S000000286,UBC4,542,response to stress,ubiquitin conjugating enzyme activity,proteasome complex (sensu Eukarya),0,-1.25,0.67,-0.08,0.08,-0.12,0.23,-0.22,0.35,0.09,0.31,0.18,0.01,-0.12,-0.12,0.05,-0.08,0.14,-0.04,-0.24,0.15,0.35,-0.2,0.1,-0.42,0.09,-0.19,-0.51,0.48,0,-0.35,-0.52,-0.48,-0.73,-0.42,-0.4,-0.01,-0.34,0.55,0.5,0.37,-0.29,0.63,0.87,0.28
YBR083W,S000000287,TEC1,1461,positive regulation of transcription from Pol II promoter,specific RNA polymerase II transcription factor activity,nucleus,0,-0.86,0.37,0.75,-0.57,-0.03,-0.57,-0.97,-0.49,-0.54,-0.17,0.35,0.91,0.48,0.11,0.32,-0.36,0.12,0.34,-0.93,-0.93,-0.6,-0.62,-0.4,-0.32,-0.63,-0.65,0.07,1.52,1.07,0.07,-0.72,-0.55,0.09,0.31,0.11,-0.31,-0.31,-0.25,0.39,0.21,-0.16,0.62,0.42,0.14
YBR084C-A,S000002156,RPL19A,1076,protein biosynthesis,structural constituent of ribosome,cytosolic large ribosomal subunit (sensu Eukarya),0,-1.12,0.7,0.06,0.06,-0.28,-0.26,-0.24,0,-0.05,0.11,0.17,-0.1,0.06,0.06,0.11,0.12,-0.36,0.57,-0.18,-0.29,0.45,-0.13,0.53,-0.66,0.21,-0.17,-0.55,-1.76,0.44,-0.35,-0.87,-0.17,0.1,-0.12,0.62,0.52,-0.28,0.5,0.09,-0.01,0.08,-0.15,-0.16,-0.16
YBR084W,S000000288,MIS1,2928,nucleobase nucleoside nucleotide and nucleic acid metabolism,formate-tetrahydrofolate ligase activity,mitochondrion,0,0.14,-0.07,-0.14,-0.45,-0.45,-0.15,-0.28,0,1.44,-0.03,-0.03,-0.06,0.06,-0.09,0.3,0.34,0.2,0.05,-0.23,-0.27,0.22,0.09,0.57,-0.17,0.3,0.16,-0.02,-0.14,-0.08,0.11,-0.85,-0.82,-0.54,0,0.66,0.38,0.27,0.41,0.37,0.4,-0.22,0.19,-0.28,0.03
YBR085W,S000000289,AAC3,924,anaerobic respiration,ATP:ADP antiporter activity,mitochondrial inner membrane,0,-0.2,0.06,-0.01,0.08,0.09,0.41,-0.1,0.43,-0.71,0.22,0.27,-0.08,0.04,0.02,0.02,-0.16,0.02,-0.13,0.67,-0.28,-0.25,0.52,0.92,0.29,0.22,0.22,-0.01,-0.05,-0.53,-0.16,-1.21,-0.63,-0.18,-0.21,-0.09,0.01,-0.19,0.31,0.74,0.37,-0.16,0.39,0.64,0.21
YBR086C,S000000290,IST2,2841,response to osmotic stress,NA,plasma membrane,0,0.51,0.41,-0.2,-0.24,-0.28,0.13,-0.13,0.23,0.21,0.13,0.16,-0.06,-0.11,-0.32,0.34,0.36,0.43,0.14,-0.31,-0.56,-0.5,-0.44,0.28,-0.19,0.48,0.34,0.09,0.46,-0.1,-0.13,-0.26,-0.39,-0.22,-0.03,-0.12,-0.32,-0.07,0.21,0.57,0.34,-0.39,0.55,0.25,-0.12
YBR087W,S000000291,RFC5,1065,mismatch repair,DNA clamp loader activity,DNA replication factor C complex,1,0.25,0.6,-0.21,0.26,0.29,0.24,0,0.07,-0.03,-0.19,0.04,0.04,0.06,0.11,-0.11,-0.16,0.13,-0.16,-0.37,-0.3,0.62,0.34,0.24,-0.21,0.18,0.1,-0.03,0.01,0.15,0.05,-0.71,-0.49,0.03,-0.32,0.4,0.79,-0.02,0.42,0.2,-0.13,0.28,-0.15,-0.32,0.03
YBR088C,S000000292,POL30,777,lagging strand elongation,DNA polymerase processivity factor activity,replication fork,1,2.05,-1.43,-1.15,1.21,1.62,1.12,0.16,-0.44,-0.93,-1.23,-0.62,0.62,1.3,1.08,0.04,-0.51,-0.8,-0.89,-0.5,0.11,1.16,0.72,0.3,-0.45,-0.68,-0.98,-1.04,0.83,1,NA,-1.8,-1.43,-0.56,0.26,0.96,0.86,1.03,0.7,0.45,0.26,0.26,-0.21,-0.49,-0.3
YBR089C-A,S000002157,NHP6B,300,regulation of transcription from Pol II promoter,chromatin binding,nuclear chromatin,0,0.21,0.08,-0.86,-0.08,-0.17,-0.19,-0.38,0,0.3,-0.01,0.49,0.14,0.17,0.08,-0.52,0.5,0.05,0.4,-0.42,-0.13,0,0,0.34,-0.61,0.04,0.13,-0.21,0.66,NA,-0.31,-0.31,-0.35,-0.83,0.04,-0.26,0.03,0.08,0.61,0.39,0.34,0.14,0.23,-0.06,-0.04
YBR089W,NA,NA,NA,NA,NA,NA,1,1.01,NA,-0.97,0.73,1.36,0.66,0.07,-0.4,0.12,-1.5,0.2,-0.02,0.6,0.91,-0.25,NA,-1,0.13,-0.76,0,1.24,0.79,0.2,-0.49,-0.67,-0.94,-1,0.78,1.06,0.55,-1.62,-1.26,-0.06,-0.14,0.91,1.23,0.72,0.69,0.22,0.23,0.55,-0.23,-1.16,-0.06
YBR092C,S000000296,PHO3,1404,thiamin transport,acid phosphatase activity,periplasmic space (sensu Fungi),0,-1.69,4.18,-0.11,-0.43,-0.74,-0.88,-1.2,-0.18,0.3,1.64,0.89,0.9,0.27,0.05,-1.09,0.32,0.41,0.47,-0.54,0.1,0.01,-1.32,-1.41,-0.76,0.58,0.56,0.12,1.17,0.12,NA,-1.22,-0.13,-0.33,-0.05,-0.22,-0.13,-0.41,0.15,0.2,0.73,0.2,0.5,0.19,0.51
YBR093C,S000000297,PHO5,1404,phosphate metabolism,acid phosphatase activity,cell wall (sensu Fungi),0,-1.74,3.68,-0.76,-0.4,-0.62,-0.51,-1,-0.12,0.87,1.47,1.4,1.12,0.71,0,-0.78,-0.23,-0.2,0.55,-1.58,-0.18,0.45,-0.14,-0.46,-1.1,-0.15,-0.19,-0.31,1.18,0.36,-0.28,-1.49,0.71,0.14,-0.23,0.01,0.05,-0.19,-0.09,-0.02,0.33,0.01,0.41,0.2,0.16
YBR094W,S000000298,NA,2262,NA,NA,cytoplasm,0,-0.79,0.71,-0.14,0.25,-0.38,-0.4,-0.67,0.09,0.35,0.28,0.45,-0.09,0,-0.11,-0.09,0.41,0.09,0.27,-0.06,-0.7,-0.52,-0.2,0.36,-0.18,0.23,0.63,0.26,0.65,0.09,-0.15,-0.69,-0.31,-0.07,0.37,0.14,0.08,0.03,0.24,0.29,-0.63,-0.02,0.27,-0.23,0.52
YBR095C,S000000299,RXT2,1293,conjugation with cellular fusion,NA,nucleus,0,-0.71,0.04,-0.22,-0.03,-0.36,0.18,-0.36,-0.03,0.39,0.16,-0.06,0.32,0.09,-0.18,-0.12,0.46,-0.3,-0.06,0.05,-0.86,-0.65,-0.26,0.39,0.07,0.42,0.31,0.28,-0.02,-0.08,0.17,0.73,-0.24,-0.17,0.39,0.2,0.12,0.17,-0.28,-0.09,0.05,-0.26,-0.21,-0.28,-0.13
YBR097W,S000000301,VPS15,4365,protein amino acid phosphorylation,protein serine/threonine kinase activity,Golgi membrane,0,0.44,0.37,-0.04,0.09,0.05,0.26,-0.21,-0.01,0.39,0.01,-0.07,-0.14,-0.14,-0.1,-0.05,0.57,-0.14,-0.14,0.38,-0.29,-0.68,-0.15,-0.26,-0.1,0.15,0.21,0.4,0.43,-0.03,0.25,0.4,0.42,0.05,0.08,-0.28,-0.73,-0.5,-0.16,-0.38,0.28,-0.46,0.36,0.54,0.38
YBR098W,S000000302,MMS4,2076,DNA repair,transcription coactivator activity,nucleus,0,-0.01,0.28,0.09,0.46,0.66,0.27,-0.28,-0.45,-0.16,-0.47,0.41,-0.08,0.43,0.18,-0.59,0.25,-0.82,0.04,-0.01,-0.22,0.03,0.03,0.03,-0.22,-0.22,0.03,-0.13,0.35,0.47,0.35,-0.93,-0.33,0.25,-0.05,0,0.42,0.75,0.34,-0.1,0.26,0.07,-0.17,-0.37,-0.15
YBR099C,NA,NA,NA,NA,NA,NA,0,-0.27,-0.23,-0.14,0.32,0.04,0.45,-0.23,-0.12,0,-0.17,-0.17,-0.16,-0.07,0.18,0.03,0.44,-0.23,-0.1,0.88,0.57,0.59,0.45,-0.22,-0.32,0.03,0.02,0.19,-0.1,-0.32,0.02,0.14,-0.11,0.04,0.3,0.27,-0.06,-0.04,0.02,-0.04,0,-0.15,-0.04,-0.22,-0.13
YBR101C,S000000305,FES1,873,protein biosynthesis,adenyl-nucleotide exchange factor activity,cytosol,0,NA,NA,0.15,-0.05,0.31,0.16,-0.19,-0.05,-0.23,0.2,0.05,-0.16,-0.4,0.16,0.44,-0.4,-0.11,-0.01,0.26,0.14,-0.27,0.01,-0.01,-0.3,0.08,0.32,0.06,0.02,0,-0.24,1.63,-0.36,0.39,0.3,0.47,0.71,0.26,-0.72,-0.07,-0.4,0.17,-1.36,-0.83,-0.2
YBR103W,S000000307,SIF2,1608,chromatin silencing at telomere,NAD-dependent histone deacetylase activity,nucleus,0,-0.01,0.01,0.18,-0.14,0.29,0.21,-0.11,0.18,-0.15,0.21,-0.34,0.11,-0.25,0.02,0.9,-0.22,-0.09,-0.22,-0.34,-0.39,-0.21,0.11,-0.08,0.16,0.21,0.11,-0.1,-0.25,-0.13,0.33,0.55,-0.16,-0.05,0.14,-0.03,0.32,0.25,-0.35,0.43,-0.08,-0.24,-0.39,-0.32,-0.06
YBR105C,S000000309,VID24,1089,vesicle-mediated transport,NA,extrinsic to membrane,0,-0.38,0.07,0.4,-0.15,-0.04,0.11,0,0.25,0.26,-0.05,0.24,-0.15,-0.29,0.27,-0.03,-0.24,0.09,-0.26,1.03,0.89,0.92,0.77,0.69,0.51,-0.15,0.06,-0.24,-0.85,-0.58,-0.58,0.63,0.01,-0.08,0.22,0.25,0.45,-0.47,-0.4,-0.22,0.01,0.71,-0.47,-0.31,-0.31
YBR106W,S000000310,PHO88,567,phosphate transport,phosphate transporter activity,membrane,0,-0.22,0.12,-0.33,0.15,-0.14,0.4,-0.32,0.4,0,0.18,0.01,0.1,NA,0.08,0.24,0.17,-0.22,-0.06,-0.8,-0.3,0.37,-0.18,-0.06,-0.56,0.19,-0.33,-0.57,0.82,0.13,-0.41,-1.81,-0.44,-0.59,-0.38,0.13,0.51,-0.19,0.7,0.39,0.63,0,0.52,0.2,0.32
YBR108W,S000000312,NA,2844,NA,NA,NA,0,0.3,0.15,-0.25,0.44,-1.25,0.07,-0.21,0.01,-0.02,0.01,0.26,0.06,0.13,-0.05,-0.07,0.22,0.07,0.23,0.83,-0.8,-0.52,-0.24,0.36,-0.15,0.09,0.13,0.13,0.18,0.16,0.29,-0.11,-0.18,-0.31,0.13,-0.28,-0.29,-0.13,0.09,0.19,0.21,-0.29,0.5,0.24,0.23
YBR111C,S000000315,YSA1,696,NA,phosphoribosyl-ATP diphosphatase activity,cytoplasm,0,-0.56,0.31,0.02,0.46,0.2,0.2,-0.08,0.02,0.07,-0.08,-0.16,-0.05,-0.13,-0.12,0.28,-0.23,0.15,-0.23,0.07,-0.32,-0.18,-0.36,-0.2,-0.63,-0.07,-0.06,-0.28,0.77,0.23,NA,0.53,-0.05,-0.02,0.09,-0.13,-0.24,-0.2,-0.05,0.01,-0.25,-0.45,0.3,0.16,0.3
YBR112C,S000000316,CYC8,2901,negative regulation of transcription,transcription coactivator activity,nucleus,0,0.19,-0.38,-0.27,-0.59,-0.33,-0.02,-0.23,0.12,0.1,-0.23,0.5,-0.21,0.35,-0.09,-0.14,0.76,-0.41,0.4,-0.6,-0.36,-0.08,-0.02,0.8,0.19,-0.06,0.38,-0.08,0.11,0.04,0.16,-0.21,-0.43,-0.33,0.06,0.01,0.01,0.15,0.3,0.47,0.4,-0.03,0.26,-0.68,0.01
YBR113W,NA,NA,NA,NA,NA,NA,0,-0.15,-0.29,-0.28,-0.22,0.07,0.01,0.07,-0.03,0.41,-0.41,-0.32,-0.28,0.13,-0.18,0.08,0.83,0.1,0.29,-0.55,-0.69,0.2,0.08,0.04,-0.24,0.01,0.08,-0.05,0.59,0.26,0.24,0.28,-0.26,-0.09,-0.27,-0.02,-0.12,0.19,0.2,0.2,-0.06,-0.06,0.24,-0.15,-0.08
YBR114W,S000000318,RAD16,2373,nucleotide-excision repair DNA damage recognition,DNA-dependent ATPase activity,repairosome,0,NA,0.08,0.53,-0.29,0.26,0.09,NA,0.12,NA,-0.07,NA,-0.09,NA,0.35,-0.65,NA,-0.2,NA,1.33,1.08,0.04,-0.28,0.3,0.04,0.17,0.71,0.59,-0.73,-0.41,-0.08,-0.18,-0.27,0.23,0.18,0.1,0.06,0.09,0.38,0.31,0.22,-1.23,-0.16,NA,0.26
YBR115C,S000000319,LYS2,4179,lysine biosynthesis aminoadipic pathway,L-aminoadipate-semialdehyde dehydrogenase activity,cytoplasm,0,0.1,-0.14,-0.13,0.04,-0.19,0.1,-0.24,-0.1,-0.14,-0.1,-0.41,0.04,0.35,0.09,0.41,0.21,0.44,-0.02,-0.89,-0.31,-0.65,-0.43,0.13,0.15,0.27,0.31,0.02,0.5,0.14,0.17,-0.55,-0.1,-0.08,0.33,0.11,0.11,-0.19,-0.02,0.35,0.3,-0.36,0.09,0.09,-0.1
YBR116C,NA,NA,NA,NA,NA,NA,0,-0.12,0.76,0.01,0.08,-0.23,0.1,-0.23,0.21,0.5,0.08,NA,-0.11,NA,0.11,-0.63,NA,0.03,NA,1.56,1.1,0.06,-0.01,-0.42,-0.22,-0.14,-0.09,0.02,-0.98,-0.76,-0.18,0.52,0.03,-0.11,0.69,-0.43,-0.87,-0.9,0.7,0.1,-0.6,-1.36,-0.02,0.92,1.31
YBR117C,S000000321,TKL2,2046,pentose-phosphate shunt,transketolase activity,cytoplasm,0,-0.3,-0.04,0.06,0.04,-0.13,-0.13,-0.13,0.06,0.17,0,-0.29,0.01,0,-0.27,-0.05,0.59,-0.16,0.04,1.03,0.46,0.21,0.28,-0.37,-0.37,-0.72,0.28,-0.48,-0.18,0.14,-0.48,0.31,0.01,0.74,0.98,0.01,-0.49,-0.66,-0.45,-0.03,-0.66,-1.82,-0.04,1.02,1.08
YBR118W,S000000322,TEF2,1377,translational elongation,translation elongation factor activity,ribosome,0,NA,0.2,0.03,-0.41,-0.18,-0.21,-0.14,0.08,NA,-0.05,0.18,-0.1,0.04,-0.04,0.19,0.12,-0.1,0.47,-0.43,0.08,0.56,-0.17,0.47,-0.39,0.3,-0.07,-0.54,NA,-2.73,-0.39,-0.8,-0.3,-0.69,-0.23,0.15,0.23,0.16,0.61,0.37,0.36,-0.02,0.11,0.07,-0.02
YBR119W,S000000323,MUD1,986,nuclear mRNA splicing via spliceosome,RNA binding,snRNP U1,0,-0.45,-0.14,0.01,0.01,0,0.03,-0.06,-0.09,0.19,-0.21,0.15,-0.26,0.34,-0.16,-0.33,0.54,0.03,0.29,0.04,-0.07,0.04,-0.34,-0.11,-0.09,0.11,0.1,0.06,-0.1,-0.17,NA,1.36,0.06,0.14,0.12,0.22,-0.12,-0.12,-0.26,-0.22,-0.52,-0.03,-0.24,-0.14,-0.22
YBR120C,S000000324,CBP6,489,protein biosynthesis,NA,mitochondrion,0,NA,0.15,0.39,-0.34,-0.18,-0.25,-0.16,0.07,0.55,-0.16,NA,-0.7,NA,0.02,-0.18,0.44,0.32,NA,0.32,-1.17,-0.74,-0.65,0.15,-0.44,-0.05,-0.28,-0.06,0.68,0.56,0.19,0.21,0,-0.07,-0.49,-0.27,0.31,0.72,0,-0.15,-0.31,0.29,0.12,-0.39,0.03
YBR121C,S000000325,GRS1,2004,glycyl-tRNA aminoacylation,glycine-tRNA ligase activity,cytoplasm,1,-0.51,-0.2,0,-0.34,-0.32,-0.13,-0.37,0.07,0.1,0.12,-0.21,0.22,0.33,-0.12,0.27,0.83,-0.13,0.35,-0.16,-0.3,0.06,-0.03,0.54,-0.43,0.19,-0.04,-0.27,0.55,0.12,-0.24,-0.6,-0.22,-0.11,0.09,0.2,0.2,0.17,0.35,0.3,0.09,-0.14,0.09,-0.07,-0.33
YBR123C,S000000327,TFC1,1950,transcription initiation from Pol III promoter,RNA polymerase III transcription factor activity,transcription factor TFIIIC complex,1,-0.62,-0.23,-0.12,-0.3,-0.37,-0.21,-0.26,0.23,0.21,0.14,-0.19,0.25,-0.24,-0.16,0.33,0.72,-0.06,0.33,-0.32,-1.08,-0.82,-0.1,0.66,0.24,0.27,0.47,0.14,0.47,-0.23,0.22,-0.28,-0.24,-0.09,0.19,0.01,-0.16,-0.05,0.14,0.28,0.24,-0.36,0.24,0.19,-0.11
YBR124W,NA,NA,NA,NA,NA,NA,1,-0.17,0.21,-0.19,-0.23,-0.95,-0.19,-0.44,0.22,0.47,0.18,NA,-0.32,NA,0.47,0.04,0.31,-0.14,0.11,0.12,-0.72,-0.97,0.42,-0.11,-0.21,0.42,0.56,0.49,0.03,-0.72,0.68,0.22,-0.29,-0.25,-0.13,0.11,-0.34,-0.07,-0.22,0.25,0.32,-0.09,0.35,0.09,0.07
YBR126C,S000000330,TPS1,1488,response to stress,alphaalpha-trehalose-phosphate synthase (UDP-forming) activity,cytoplasm,0,0.12,0.7,-0.03,0.71,0.28,-0.17,-0.62,-0.39,-0.21,-0.33,0.09,-0.08,0.17,0.03,-0.04,0.21,-0.26,0,0.83,-0.6,-0.86,-0.38,-0.04,-0.39,-0.52,-0.17,0.06,0.33,0.53,0.43,0.88,0.2,0.33,-0.17,-0.63,-0.93,-0.46,0.04,0.33,-0.05,-0.93,0.5,0.29,0.59
YBR127C,S000000331,VMA2,1554,vacuolar acidification,hydrogen-transporting ATPase activity rotational mechanism,cytoplasm,0,-0.36,0.33,0,-0.05,0.06,0.1,0.14,0.08,-0.21,-0.05,-0.06,0.13,-0.03,-0.1,0.23,0.27,0.13,-0.13,-0.58,-0.15,-0.21,-0.35,0.2,-0.65,0,0.21,-0.19,0.83,0.16,NA,0.1,-0.26,-0.15,-0.22,-0.15,-0.3,-0.34,0.08,0.42,0.24,-0.34,0.32,0.34,0.24
YBR129C,S000000333,OPY1,987,conjugation with cellular fusion,NA,cytoplasm,0,0.04,0.12,0,-0.02,-0.09,-0.25,0.3,-0.13,0.22,-0.05,0.21,-0.07,0,0,0.07,-0.15,0.27,0,-1,-0.67,0.15,0.04,-0.18,-0.16,-0.12,0.25,0.18,0.05,0.26,0.36,0.89,0.16,0.04,-0.02,-0.14,-0.05,0.06,0.06,0.03,-0.33,-0.16,-0.23,-0.19,-0.12
YBR130C,S000000334,SHE3,1278,mRNA localization intracellular,mRNA binding,cytoplasm,0,-0.67,0.43,-0.21,-0.08,-0.29,-0.25,-0.01,0.23,0.43,0.02,0.16,-0.27,0.03,-0.23,0.22,0.12,0.48,0.12,-0.43,-0.12,-0.33,-0.32,0.23,0.32,0.44,0.23,0,-0.06,-0.14,0.15,0.04,-0.51,-0.22,-0.38,-0.18,0.14,0.04,0.13,0.2,0.1,0.02,0.31,0.16,0.17
YBR132C,S000000336,AGP2,1791,response to osmotic stress,amino acid transporter activity,endoplasmic reticulum membrane,0,-0.43,0.28,-0.12,0.8,0.06,0.3,-0.17,-0.06,0.15,-0.04,-0.19,-0.38,0.06,-0.4,-0.07,-0.19,-0.32,0.13,0.43,-1.07,-0.33,0.15,0.15,-0.19,-0.48,0.25,0.87,0.15,-0.19,0.74,0.19,-0.29,-0.35,-0.27,-0.59,-0.49,0.03,0.1,0.61,0.32,-0.21,0.64,-0.13,0.43
YBR133C,S000000337,HSL7,2484,G2/M transition of mitotic cell cycle,protein-arginine N-methyltransferase activity,bud neck,0,NA,NA,-0.08,-0.32,-0.42,0.08,0.08,-0.05,0.59,-0.17,-0.2,-0.02,0.08,0.08,0.38,0.35,0.19,-0.06,-0.25,-1.57,-0.58,-0.27,0.59,0.31,0.57,0.4,0.36,-0.39,0.03,0.52,-0.29,-0.2,-0.39,-0.44,-0.1,-0.27,-0.29,0.28,0.37,0.37,-0.08,0.4,0.4,0.23
YBR134W,NA,NA,NA,NA,NA,NA,0,0.29,0.28,-0.03,-0.15,-0.28,0.11,-0.07,0.16,0.14,0.03,0.05,-0.26,0.12,-0.07,0.05,0.23,0.27,0.21,-0.71,-0.97,-0.12,0.29,-0.29,-0.59,0.75,-0.04,0.35,NA,0.1,0.35,-0.01,-0.24,-0.22,-0.43,-0.18,0.03,-0.31,-0.02,0.29,0.1,0.29,0.25,0.39,0.07
YBR136W,S000000340,MEC1,7107,meiotic recombination,protein kinase activity,nucleus,1,0.14,0.01,-0.5,0.03,0.05,-0.23,-0.41,0.03,-0.34,0.25,0.15,0.19,-0.26,0.06,0.59,0.3,-0.26,-0.04,0.36,0.25,-0.3,-0.28,0.48,0.15,0.15,0.53,0.22,0.38,-0.4,-0.46,0.34,-0.35,0.05,0.44,0.3,0.19,-0.19,-0.09,0.34,-0.21,0.01,-0.35,-0.3,-0.19
YBR138C,S000000342,NA,1575,NA,NA,cytoplasm,0,-0.45,1.48,-0.54,0.59,0.39,-0.66,-0.39,0.04,NA,-0.11,NA,-0.24,NA,-0.24,NA,0.34,-0.21,NA,-0.5,-0.89,-1.33,-0.75,-0.32,0.19,0.84,1.22,1.03,0.16,-0.23,0.15,-0.19,NA,0.24,-0.85,-0.44,-0.68,-0.03,0.15,0.25,0.26,0.01,0.7,0.25,0.32
YBR139W,S000000343,NA,1527,NA,carboxypeptidase C activity,vacuole (sensu Fungi),0,-0.74,0.52,-0.42,0.19,-0.09,-0.14,-0.68,-0.16,0.33,0.29,0.11,0.35,0.21,-0.38,-0.09,0.39,0.03,0.47,0.28,-1.12,-1.37,-1.04,-1.04,-0.14,0.41,0.69,0.71,0.7,0.49,0.59,0.34,-0.02,-0.18,-0.1,-0.71,-0.9,-0.22,-0.14,0.41,0.03,-0.02,0.56,0.65,0.31
